ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.390147,0.372663,ACIC 0
1.80266,4.747737,45.408811,ACIC 1
-4.762292,42.569427,1882.74277,ACIC 2
-0.004695,31.319747,3991.312233,ACIC 3
0.425277,0.754655,1.572891,ACIC 4
-0.179795,6.279956,141.436893,ACIC 5
-2.313059,0.384835,6.419423,ACIC 6
2.942983,0.031723,3.554364,ACIC 7
-4.077064,3.484449,39.615944,ACIC 8
1.133959,30.722977,248717.648296,ACIC 9
-7.582257,0.148864,0.307645,ACIC 10
3.714233,17.73092,8738.649501,ACIC 11
-12.237335,2.651297,25.070094,ACIC 12
0.019819,0.015789,0.001695,ACIC 13
0.059331,0.028573,0.012125,ACIC 14
1.912783,1.964486,7.117556,ACIC 15
-0.214989,0.114313,0.467222,ACIC 16
0.430697,0.441335,0.389951,ACIC 17
2.338931,2.345653,10.572378,ACIC 18
-6.003887,92.417095,28513.972996,ACIC 19
-0.264239,0.013664,0.00287,ACIC 20
-0.091192,0.035876,4.087091,ACIC 21
3.031096,5.515692,443266.026692,ACIC 22
-0.958411,11.523117,222.993073,ACIC 23
6.322845,40.98255,42129.830856,ACIC 24
1.587566,9.578009,203.162395,ACIC 25
5.6889,0.187726,257.024804,ACIC 26
6.475806,6.488688,71.2971,ACIC 27
5.136856,2.351998,7747.262533,ACIC 28
4.397258,10.66136,11972.058082,ACIC 29
0.127151,0.027111,0.003202,ACIC 30
-0.511276,0.903169,14.001156,ACIC 31
0.146709,0.192293,0.039194,ACIC 32
2.851171,14.787489,1953.013428,ACIC 33
1.648949,4.395856,9891.538526,ACIC 34
-2.089809,2.178202,64.381641,ACIC 35
