ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.46498,0.37709,ACIC 0
1.80266,1.476068,2.241958,ACIC 1
-4.762292,5.015923,26.559325,ACIC 2
-0.004695,0.300789,0.44519,ACIC 3
0.425277,1.031286,5.168067,ACIC 4
-0.179795,0.231836,0.073679,ACIC 5
-2.313059,2.399194,5.758339,ACIC 6
2.942983,2.783334,7.750651,ACIC 7
-4.077064,4.210761,17.741889,ACIC 8
1.133959,0.758203,1.898217,ACIC 9
-7.582257,7.64977,58.519076,ACIC 10
3.714233,3.936362,24.144832,ACIC 11
-12.237335,12.585428,158.432913,ACIC 12
0.019819,0.01421,0.000231,ACIC 13
0.059331,0.055585,0.003097,ACIC 14
1.912783,1.903332,6.866194,ACIC 15
-0.214989,0.238763,0.060061,ACIC 16
0.430697,0.425333,0.374727,ACIC 17
2.338931,2.330578,10.49249,ACIC 18
-6.003887,7.669787,60.760994,ACIC 19
-0.264239,0.294198,0.095094,ACIC 20
-0.091192,0.104983,2.127293,ACIC 21
3.031096,4.029373,12322.728176,ACIC 22
-0.958411,1.040924,1.095684,ACIC 23
6.322845,6.069019,36.832989,ACIC 24
1.587566,1.380548,1.918943,ACIC 25
5.6889,5.412313,29.995457,ACIC 26
6.475806,6.460453,70.939394,ACIC 27
5.136856,5.358663,35.023415,ACIC 28
4.397258,5.489587,69.427552,ACIC 29
0.127151,0.123058,0.015802,ACIC 30
-0.511276,0.530692,0.310895,ACIC 31
0.146709,0.139853,0.019559,ACIC 32
2.851171,3.274478,74.23474,ACIC 33
1.648949,2.012116,8.51494,ACIC 34
-2.089809,2.120266,4.510181,ACIC 35
