ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.393786,0.314449,ACIC 0
1.80266,3.494267,76.365666,ACIC 1
-4.762292,52.631667,3199.570115,ACIC 2
-0.004695,26.573159,3889.46193,ACIC 3
0.425277,7.720267,680.488538,ACIC 4
-0.179795,5.519964,99.120221,ACIC 5
-2.313059,0.167032,1.703354,ACIC 6
2.942983,2.208764,17.186299,ACIC 7
-4.077064,2.63687,131.778516,ACIC 8
1.133959,,,ACIC 9
-7.582257,0.022563,0.040319,ACIC 10
3.714233,8.313326,23311.792924,ACIC 11
-12.237335,3.810753,68.635713,ACIC 12
0.019819,0.012921,0.006859,ACIC 13
0.059331,0.032034,0.015168,ACIC 14
1.912783,2.011296,7.362764,ACIC 15
-0.214989,0.073426,0.225525,ACIC 16
0.430697,0.43582,0.387606,ACIC 17
2.338931,2.320615,10.621486,ACIC 18
-6.003887,51.267727,6519.145801,ACIC 19
-0.264239,0.071645,0.565079,ACIC 20
-0.091192,0.035766,0.299054,ACIC 21
3.031096,,,ACIC 22
-0.958411,2.406219,22.451639,ACIC 23
6.322845,57.67068,65811.816338,ACIC 24
1.587566,0.431988,381.347508,ACIC 25
5.6889,14.810566,2686.819215,ACIC 26
6.475806,6.483036,71.127106,ACIC 27
5.136856,2.836254,4838.156529,ACIC 28
4.397258,69.545162,90428.243705,ACIC 29
0.127151,0.020721,0.025802,ACIC 30
-0.511276,0.1829,34.850349,ACIC 31
0.146709,0.226225,0.13407,ACIC 32
2.851171,9.201407,1857.645889,ACIC 33
1.648949,9.732342,759.155152,ACIC 34
-2.089809,0.41704,13.866654,ACIC 35
