ATE,Error_ATE,Error_PEHE,Problem
0.469213,929693257.58782,3.519440767724195e+20,ACIC 0
1.80266,10369618278.263342,1.954547365637907e+22,ACIC 1
-4.762292,277146800.659486,7.684432550263683e+19,ACIC 2
-0.004695,46994448001.89019,2.4693870255628165e+22,ACIC 3
0.425277,23152679216.552307,9.278132608073316e+23,ACIC 4
-0.179795,155201392.703024,3.154573891372003e+20,ACIC 5
-2.313059,12366097154.03517,6.121826067468382e+22,ACIC 6
2.942983,3231296413.701676,1.5695974835673396e+22,ACIC 7
-4.077064,64212277.400561,8.28759545240821e+18,ACIC 8
1.133959,5780926910.271726,2.391848334793213e+22,ACIC 9
-7.582257,19577490257.294857,2.830918840177218e+23,ACIC 10
3.714233,353528241369.70953,3.124555436141706e+25,ACIC 11
-12.237335,49004712775.9381,1.4739820013796597e+23,ACIC 12
0.019819,38627970.797302,5.80454503956892e+19,ACIC 13
0.059331,0.014013,0.001803,ACIC 14
1.912783,41055289068.80651,1.4270152924028517e+24,ACIC 15
-0.214989,983866587.087658,4.840193273516346e+21,ACIC 16
0.430697,10042397.54214,5.042486975112381e+17,ACIC 17
2.338931,3476706591.028338,1.208748873641116e+22,ACIC 18
-6.003887,11515995180.83519,1.3671673554261378e+23,ACIC 19
-0.264239,1492635866.400249,1.1142123518667176e+22,ACIC 20
-0.091192,2639307738.703017,1.0541262439478783e+22,ACIC 21
3.031096,1232987676867.4463,7.601293056514516e+27,ACIC 22
-0.958411,98796825756.07222,3.072804745407093e+24,ACIC 23
6.322845,8296185778363.581,5.009719754634767e+27,ACIC 24
1.587566,283712032.241417,1.3983967749011137e+20,ACIC 25
5.6889,4296922128.136588,1.499946522652707e+21,ACIC 26
6.475806,6.480523,71.171448,ACIC 27
5.136856,8900501283.943066,2.4924368731201186e+22,ACIC 28
4.397258,34674357978.69731,3.073277521899089e+23,ACIC 29
0.127151,1548848248.27182,1.1994654481134128e+21,ACIC 30
-0.511276,816743577.422167,1.3341394764404842e+21,ACIC 31
0.146709,1278263739483.5134,2.6876364635904008e+26,ACIC 32
2.851171,116281293516176.0,4.752708203798041e+29,ACIC 33
1.648949,10353737094.410542,2.752805130683154e+23,ACIC 34
-2.089809,1897112286.33583,1.4215923261072545e+21,ACIC 35
