ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.380768,0.295518,ACIC 0
1.80266,1.243117,2.370237,ACIC 1
-4.762292,1.425345,38.147895,ACIC 2
-0.004695,0.006281,0.000366,ACIC 3
0.425277,0.381823,0.5625,ACIC 4
-0.179795,2.209935,43.272072,ACIC 5
-2.313059,0.109333,0.407943,ACIC 6
2.942983,0.039862,1.355325,ACIC 7
-4.077064,0.893036,3.680426,ACIC 8
1.133959,1.125862,2.579522,ACIC 9
-7.582257,0.054469,0.30654,ACIC 10
3.714233,0.031498,0.43854,ACIC 11
-12.237335,0.681319,7.466271,ACIC 12
0.019819,0.018204,0.000903,ACIC 13
0.059331,0.057741,0.00335,ACIC 14
1.912783,1.919211,6.912783,ACIC 15
-0.214989,0.093817,0.019994,ACIC 16
0.430697,0.434594,0.382857,ACIC 17
2.338931,2.338085,10.525278,ACIC 18
-6.003887,5.314976,29.504853,ACIC 19
-0.264239,0.165368,0.030902,ACIC 20
-0.091192,0.007347,0.041267,ACIC 21
3.031096,0.155493,13477.807494,ACIC 22
-0.958411,0.626585,0.594584,ACIC 23
6.322845,5.099712,31.667097,ACIC 24
1.587566,1.113458,1.514491,ACIC 25
5.6889,5.427993,29.570627,ACIC 26
6.475806,6.478112,71.147102,ACIC 27
5.136856,0.062354,0.399512,ACIC 28
4.397258,0.145843,5.475884,ACIC 29
0.127151,0.022481,0.006838,ACIC 30
-0.511276,0.009607,0.007064,ACIC 31
0.146709,0.026701,0.010188,ACIC 32
2.851171,0.383013,1.423116,ACIC 33
1.648949,0.33363,0.525858,ACIC 34
-2.089809,0.00428,2.033229,ACIC 35
