ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.389316,0.314008,ACIC 0
1.80266,0.222771,6.49774,ACIC 1
-4.762292,12.048564,197.423795,ACIC 2
-0.004695,28.552659,4361.78032,ACIC 3
0.425277,1.885524,75.65559,ACIC 4
-0.179795,4.100313,80.197695,ACIC 5
-2.313059,0.252385,4.758379,ACIC 6
2.942983,1.2047,6.800526,ACIC 7
-4.077064,4.131432,54.106738,ACIC 8
1.133959,23.120623,768.239253,ACIC 9
-7.582257,0.271862,0.935506,ACIC 10
3.714233,13.184529,10647.163253,ACIC 11
-12.237335,0.206117,23.018518,ACIC 12
0.019819,0.058829,0.025084,ACIC 13
0.059331,0.137821,5.98982,ACIC 14
1.912783,1.97868,7.26836,ACIC 15
-0.214989,0.049535,0.26068,ACIC 16
0.430697,0.415682,0.380874,ACIC 17
2.338931,2.345122,10.795468,ACIC 18
-6.003887,44.178932,9489.729417,ACIC 19
-0.264239,0.237749,0.615848,ACIC 20
-0.091192,0.013216,0.292456,ACIC 21
3.031096,21.732401,383516.196998,ACIC 22
-0.958411,2.859111,34.863912,ACIC 23
6.322845,39.093228,40004.371691,ACIC 24
1.587566,0.160799,320.914451,ACIC 25
5.6889,2.312103,433.130557,ACIC 26
6.475806,6.492232,71.27719,ACIC 27
5.136856,3.098757,6970.436231,ACIC 28
4.397258,56.258682,48634.492136,ACIC 29
0.127151,0.025551,0.022297,ACIC 30
-0.511276,0.184042,111.119554,ACIC 31
0.146709,0.197439,0.151368,ACIC 32
2.851171,0.20319,1423.873719,ACIC 33
1.648949,4.340617,3597.68503,ACIC 34
-2.089809,0.093808,2.817508,ACIC 35
