ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.450989,0.359217,ACIC 0
1.80266,1.110265,27.530888,ACIC 1
-4.762292,3.59766,114.833631,ACIC 2
-0.004695,1.466647,65.723798,ACIC 3
0.425277,0.131402,52.549149,ACIC 4
-0.179795,0.236105,5.430017,ACIC 5
-2.313059,0.739112,7.864087,ACIC 6
2.942983,0.994434,10.913836,ACIC 7
-4.077064,4.287405,24.638516,ACIC 8
1.133959,0.536135,160.109402,ACIC 9
-7.582257,4.843488,27.670616,ACIC 10
3.714233,3.016242,457.684564,ACIC 11
-12.237335,9.519141,124.01882,ACIC 12
0.019819,0.018709,0.027324,ACIC 13
0.059331,0.040116,0.00641,ACIC 14
1.912783,1.907185,6.876991,ACIC 15
-0.214989,0.299308,0.788679,ACIC 16
0.430697,0.437982,0.411989,ACIC 17
2.338931,2.351709,10.595442,ACIC 18
-6.003887,15.561199,777.597299,ACIC 19
-0.264239,0.166323,0.486195,ACIC 20
-0.091192,0.000135,1.947472,ACIC 21
3.031096,3.943732,16384.947799,ACIC 22
-0.958411,0.211549,5.922877,ACIC 23
6.322845,3.974814,4527.113947,ACIC 24
1.587566,2.627421,20.806708,ACIC 25
5.6889,4.171982,71.151466,ACIC 26
6.475806,6.508999,71.700985,ACIC 27
5.136856,4.83339,23.903992,ACIC 28
4.397258,3.961987,71.508597,ACIC 29
0.127151,0.108571,0.020363,ACIC 30
-0.511276,0.402236,2.562266,ACIC 31
0.146709,0.086147,0.02162,ACIC 32
2.851171,0.989143,1248.895069,ACIC 33
1.648949,0.771734,346.782524,ACIC 34
-2.089809,1.593929,2.849817,ACIC 35
