ATE,Error_ATE,Error_PEHE,Problem
0.741,0.030753,0.219973,Synthetic 0
0.728,0.05154,0.229487,Synthetic 1
0.705,0.08031,0.237345,Synthetic 2
0.717,0.060187,0.24335,Synthetic 3
0.715,0.057201,0.235895,Synthetic 4
0.728,0.043802,0.228878,Synthetic 5
0.72,0.061564,0.226316,Synthetic 6
0.731,0.051656,0.226149,Synthetic 7
0.716,0.063375,0.240213,Synthetic 8
0.741,0.044592,0.218959,Synthetic 9
0.737,0.037711,0.214147,Synthetic 10
0.721,0.044355,0.22802,Synthetic 11
0.711,0.070376,0.241432,Synthetic 12
0.723,0.047885,0.231636,Synthetic 13
0.711,0.043237,0.250311,Synthetic 14
0.705,0.069156,0.253802,Synthetic 15
0.717,0.059568,0.235538,Synthetic 16
0.732,0.047962,0.225358,Synthetic 17
0.724,0.052482,0.227523,Synthetic 18
0.76,0.016842,0.193638,Synthetic 19
0.757,0.018287,0.205127,Synthetic 20
0.722,0.045291,0.237642,Synthetic 21
0.698,0.085733,0.246841,Synthetic 22
0.718,0.057609,0.228792,Synthetic 23
0.727,0.053422,0.222139,Synthetic 24
0.718,0.066821,0.225807,Synthetic 25
0.729,0.045057,0.230838,Synthetic 26
0.722,0.064336,0.235697,Synthetic 27
0.735,0.034823,0.212926,Synthetic 28
0.726,0.045762,0.222086,Synthetic 29
0.742,0.028327,0.211229,Synthetic 30
0.705,0.079154,0.245025,Synthetic 31
0.738,0.034095,0.223713,Synthetic 32
0.727,0.048805,0.235817,Synthetic 33
0.729,0.056197,0.237552,Synthetic 34
0.739,0.052243,0.220475,Synthetic 35
0.719,0.055046,0.239985,Synthetic 36
0.703,0.068399,0.242471,Synthetic 37
0.743,0.040051,0.223468,Synthetic 38
0.717,0.052083,0.23854,Synthetic 39
0.732,0.041853,0.224938,Synthetic 40
0.719,0.047694,0.227399,Synthetic 41
0.71,0.072967,0.23802,Synthetic 42
0.719,0.034245,0.236072,Synthetic 43
0.704,0.084202,0.266231,Synthetic 44
0.729,0.046658,0.226599,Synthetic 45
0.746,0.01982,0.206756,Synthetic 46
0.693,0.082151,0.256676,Synthetic 47
0.733,0.036174,0.22207,Synthetic 48
0.706,0.067266,0.238965,Synthetic 49
0.735,0.051605,0.224372,Synthetic 50
0.714,0.057026,0.250545,Synthetic 51
0.705,0.07251,0.246373,Synthetic 52
0.742,0.034678,0.217499,Synthetic 53
0.724,0.056389,0.229992,Synthetic 54
0.694,0.095674,0.258379,Synthetic 55
0.75,0.034818,0.211826,Synthetic 56
0.711,0.064747,0.246474,Synthetic 57
0.704,0.070286,0.264417,Synthetic 58
0.699,0.066999,0.26172,Synthetic 59
0.728,0.041158,0.230559,Synthetic 60
0.711,0.061005,0.238086,Synthetic 61
0.698,0.07703,0.23362,Synthetic 62
0.685,0.090253,0.26485,Synthetic 63
0.757,0.029957,0.201713,Synthetic 64
0.702,0.084976,0.251263,Synthetic 65
0.748,0.034915,0.206502,Synthetic 66
0.726,0.035711,0.233284,Synthetic 67
0.713,0.065918,0.238469,Synthetic 68
0.726,0.034058,0.227157,Synthetic 69
0.738,0.032324,0.221293,Synthetic 70
0.715,0.074915,0.230257,Synthetic 71
0.728,0.056324,0.226177,Synthetic 72
0.714,0.049303,0.231475,Synthetic 73
0.772,0.006392,0.188988,Synthetic 74
0.724,0.046488,0.230936,Synthetic 75
0.719,0.055092,0.234094,Synthetic 76
0.746,0.043114,0.23025,Synthetic 77
0.693,0.081515,0.248427,Synthetic 78
0.708,0.06817,0.240832,Synthetic 79
0.689,0.09387,0.255917,Synthetic 80
0.749,0.033609,0.214117,Synthetic 81
0.705,0.06432,0.251018,Synthetic 82
0.739,0.032677,0.211078,Synthetic 83
0.71,0.071966,0.243902,Synthetic 84
0.714,0.063539,0.243094,Synthetic 85
0.701,0.078086,0.246623,Synthetic 86
0.747,0.023859,0.214618,Synthetic 87
0.726,0.047928,0.228129,Synthetic 88
0.729,0.025695,0.236068,Synthetic 89
0.7,0.080762,0.2416,Synthetic 90
0.694,0.081196,0.256377,Synthetic 91
0.702,0.079307,0.250452,Synthetic 92
0.736,0.051862,0.235801,Synthetic 93
0.719,0.077692,0.234997,Synthetic 94
0.708,0.074078,0.249061,Synthetic 95
0.737,0.03685,0.222018,Synthetic 96
0.705,0.079307,0.243219,Synthetic 97
0.745,0.015449,0.213561,Synthetic 98
0.733,0.039198,0.223985,Synthetic 99
