ATE,Error_ATE,Error_PEHE,Problem
0.741,0.013274,0.219017,Synthetic 0
0.728,0.004589,0.227279,Synthetic 1
0.705,0.034296,0.234833,Synthetic 2
0.717,0.009961,0.24098,Synthetic 3
0.715,0.011673,0.232397,Synthetic 4
0.728,0.001235,0.227444,Synthetic 5
0.72,0.013905,0.222655,Synthetic 6
0.731,0.000255,0.226278,Synthetic 7
0.716,0.005328,0.239267,Synthetic 8
0.741,0.00797,0.217543,Synthetic 9
0.737,0.010212,0.213546,Synthetic 10
0.721,0.002953,0.227912,Synthetic 11
0.711,0.01733,0.235333,Synthetic 12
0.723,0.002711,0.231067,Synthetic 13
0.711,0.001512,0.251368,Synthetic 14
0.705,0.02691,0.252909,Synthetic 15
0.717,0.008698,0.234459,Synthetic 16
0.732,0.001303,0.223054,Synthetic 17
0.724,0.001763,0.226261,Synthetic 18
0.76,0.038906,0.196594,Synthetic 19
0.757,0.020058,0.209476,Synthetic 20
0.722,0.000128,0.234838,Synthetic 21
0.698,0.033587,0.241872,Synthetic 22
0.718,0.001832,0.231057,Synthetic 23
0.727,0.004413,0.220623,Synthetic 24
0.718,0.010742,0.220765,Synthetic 25
0.729,0.00624,0.228953,Synthetic 26
0.722,0.009716,0.231752,Synthetic 27
0.735,0.009222,0.212551,Synthetic 28
0.726,0.00238,0.223407,Synthetic 29
0.742,0.0158,0.211906,Synthetic 30
0.705,0.023325,0.240729,Synthetic 31
0.738,0.005383,0.222773,Synthetic 32
0.727,0.000371,0.232147,Synthetic 33
0.729,0.00338,0.232884,Synthetic 34
0.739,0.000711,0.221606,Synthetic 35
0.719,0.007466,0.237271,Synthetic 36
0.703,0.010198,0.241398,Synthetic 37
0.743,0.013518,0.220949,Synthetic 38
0.717,0.012732,0.237108,Synthetic 39
0.732,0.009486,0.224322,Synthetic 40
0.719,0.001011,0.22561,Synthetic 41
0.71,0.016837,0.23486,Synthetic 42
0.719,0.0055,0.236383,Synthetic 43
0.704,0.027192,0.259429,Synthetic 44
0.729,0.004516,0.224257,Synthetic 45
0.746,0.029378,0.207285,Synthetic 46
0.693,0.026039,0.255157,Synthetic 47
0.733,0.007449,0.224005,Synthetic 48
0.706,0.014126,0.23399,Synthetic 49
0.735,0.007138,0.224777,Synthetic 50
0.714,0.007452,0.247502,Synthetic 51
0.705,0.023344,0.244745,Synthetic 52
0.742,0.014971,0.216901,Synthetic 53
0.724,0.005089,0.226567,Synthetic 54
0.694,0.03889,0.252033,Synthetic 55
0.75,0.019267,0.210751,Synthetic 56
0.711,0.015361,0.243978,Synthetic 57
0.704,0.030625,0.260323,Synthetic 58
0.699,0.020773,0.259874,Synthetic 59
0.728,0.002204,0.232431,Synthetic 60
0.711,0.008783,0.234315,Synthetic 61
0.698,0.027433,0.23276,Synthetic 62
0.685,0.041727,0.258808,Synthetic 63
0.757,0.024862,0.200266,Synthetic 64
0.702,0.023811,0.245916,Synthetic 65
0.748,0.011935,0.205809,Synthetic 66
0.726,0.005634,0.234336,Synthetic 67
0.713,0.013592,0.235117,Synthetic 68
0.726,0.006278,0.227057,Synthetic 69
0.738,0.020469,0.223062,Synthetic 70
0.715,0.02203,0.227629,Synthetic 71
0.728,0.002844,0.224541,Synthetic 72
0.714,0.003562,0.229011,Synthetic 73
0.772,0.041454,0.190991,Synthetic 74
0.724,0.002771,0.229422,Synthetic 75
0.719,0.007379,0.228226,Synthetic 76
0.746,0.017119,0.229904,Synthetic 77
0.693,0.032861,0.243866,Synthetic 78
0.708,0.021791,0.238669,Synthetic 79
0.689,0.035915,0.251805,Synthetic 80
0.749,0.01629,0.216309,Synthetic 81
0.705,0.01772,0.247283,Synthetic 82
0.739,0.00941,0.212239,Synthetic 83
0.71,0.017701,0.241627,Synthetic 84
0.714,0.010809,0.241497,Synthetic 85
0.701,0.031284,0.244562,Synthetic 86
0.747,0.020268,0.21487,Synthetic 87
0.726,0.001992,0.227774,Synthetic 88
0.729,0.019047,0.242729,Synthetic 89
0.7,0.026114,0.236602,Synthetic 90
0.694,0.026171,0.25405,Synthetic 91
0.702,0.023713,0.245846,Synthetic 92
0.736,0.000407,0.23334,Synthetic 93
0.719,0.014522,0.227105,Synthetic 94
0.708,0.021044,0.246497,Synthetic 95
0.737,0.014279,0.224762,Synthetic 96
0.705,0.027398,0.240517,Synthetic 97
0.745,0.029986,0.215002,Synthetic 98
0.733,0.021014,0.223127,Synthetic 99
