ATE,Error_ATE,Error_PEHE,Problem
0.741,0.028301,0.218634,Synthetic 0
0.728,0.055874,0.228606,Synthetic 1
0.705,0.066532,0.234788,Synthetic 2
0.717,0.042522,0.240451,Synthetic 3
0.715,0.056782,0.236363,Synthetic 4
0.728,0.041962,0.227888,Synthetic 5
0.72,0.060217,0.225602,Synthetic 6
0.731,0.050282,0.225084,Synthetic 7
0.716,0.063607,0.238732,Synthetic 8
0.741,0.042241,0.218512,Synthetic 9
0.737,0.04269,0.213597,Synthetic 10
0.721,0.041025,0.227696,Synthetic 11
0.711,0.071737,0.241097,Synthetic 12
0.723,0.037971,0.23168,Synthetic 13
0.711,0.035717,0.248909,Synthetic 14
0.705,0.067764,0.253565,Synthetic 15
0.717,0.070503,0.235765,Synthetic 16
0.732,0.05601,0.225345,Synthetic 17
0.724,0.050412,0.226335,Synthetic 18
0.76,0.00726,0.19384,Synthetic 19
0.757,0.029224,0.205763,Synthetic 20
0.722,0.047892,0.23685,Synthetic 21
0.698,0.075037,0.244777,Synthetic 22
0.718,0.068068,0.228936,Synthetic 23
0.727,0.047685,0.220726,Synthetic 24
0.718,0.066938,0.224927,Synthetic 25
0.729,0.037489,0.228637,Synthetic 26
0.722,0.05837,0.23408,Synthetic 27
0.735,0.034769,0.211861,Synthetic 28
0.726,0.038473,0.220436,Synthetic 29
0.742,0.025129,0.209891,Synthetic 30
0.705,0.078161,0.244478,Synthetic 31
0.738,0.027291,0.222045,Synthetic 32
0.727,0.042632,0.233913,Synthetic 33
0.729,0.051786,0.236621,Synthetic 34
0.739,0.051582,0.219973,Synthetic 35
0.719,0.049304,0.238383,Synthetic 36
0.703,0.064167,0.24246,Synthetic 37
0.743,0.033346,0.222422,Synthetic 38
0.717,0.048233,0.237516,Synthetic 39
0.732,0.043026,0.223772,Synthetic 40
0.719,0.047036,0.226336,Synthetic 41
0.71,0.070285,0.236493,Synthetic 42
0.719,0.031067,0.234801,Synthetic 43
0.704,0.078758,0.26306,Synthetic 44
0.729,0.038924,0.224971,Synthetic 45
0.746,0.012758,0.205987,Synthetic 46
0.693,0.083903,0.255371,Synthetic 47
0.733,0.037051,0.221254,Synthetic 48
0.706,0.079319,0.239344,Synthetic 49
0.735,0.051375,0.223468,Synthetic 50
0.714,0.051645,0.24979,Synthetic 51
0.705,0.073198,0.247096,Synthetic 52
0.742,0.033244,0.216531,Synthetic 53
0.724,0.065269,0.22972,Synthetic 54
0.694,0.091452,0.256566,Synthetic 55
0.75,0.02984,0.212215,Synthetic 56
0.711,0.057138,0.245589,Synthetic 57
0.704,0.06272,0.262727,Synthetic 58
0.699,0.062302,0.261034,Synthetic 59
0.728,0.045144,0.23009,Synthetic 60
0.711,0.065192,0.238245,Synthetic 61
0.698,0.073649,0.231818,Synthetic 62
0.685,0.084972,0.263169,Synthetic 63
0.757,0.029478,0.201306,Synthetic 64
0.702,0.075548,0.250448,Synthetic 65
0.748,0.03598,0.205641,Synthetic 66
0.726,0.036684,0.232058,Synthetic 67
0.713,0.065334,0.237144,Synthetic 68
0.726,0.033066,0.226181,Synthetic 69
0.738,0.040879,0.220415,Synthetic 70
0.715,0.075021,0.229469,Synthetic 71
0.728,0.050672,0.224513,Synthetic 72
0.714,0.04677,0.230354,Synthetic 73
0.772,0.003466,0.188021,Synthetic 74
0.724,0.045594,0.229236,Synthetic 75
0.719,0.044447,0.232043,Synthetic 76
0.746,0.045155,0.229088,Synthetic 77
0.693,0.080732,0.247087,Synthetic 78
0.708,0.060062,0.24042,Synthetic 79
0.689,0.091593,0.254474,Synthetic 80
0.749,0.032342,0.212711,Synthetic 81
0.705,0.067527,0.249842,Synthetic 82
0.739,0.032351,0.212663,Synthetic 83
0.71,0.057274,0.241214,Synthetic 84
0.714,0.055878,0.241766,Synthetic 85
0.701,0.076222,0.245261,Synthetic 86
0.747,0.027908,0.213728,Synthetic 87
0.726,0.044814,0.226582,Synthetic 88
0.729,0.031792,0.235559,Synthetic 89
0.7,0.077075,0.241771,Synthetic 90
0.694,0.078367,0.255024,Synthetic 91
0.702,0.078333,0.249467,Synthetic 92
0.736,0.052881,0.235884,Synthetic 93
0.719,0.071063,0.232962,Synthetic 94
0.708,0.078896,0.248858,Synthetic 95
0.737,0.044798,0.222642,Synthetic 96
0.705,0.082838,0.24257,Synthetic 97
0.745,0.025206,0.213555,Synthetic 98
0.733,0.028973,0.222997,Synthetic 99
