ATE,Error_ATE,Error_PEHE,Problem
0.741,0.028189,0.218714,Synthetic 0
0.728,0.050046,0.228521,Synthetic 1
0.705,0.077483,0.235979,Synthetic 2
0.717,0.05667,0.242122,Synthetic 3
0.715,0.061806,0.235595,Synthetic 4
0.728,0.043408,0.2279,Synthetic 5
0.72,0.064301,0.225735,Synthetic 6
0.731,0.052743,0.225421,Synthetic 7
0.716,0.063739,0.239407,Synthetic 8
0.741,0.041782,0.217665,Synthetic 9
0.737,0.035652,0.213102,Synthetic 10
0.721,0.041511,0.226882,Synthetic 11
0.711,0.0713,0.240563,Synthetic 12
0.723,0.050652,0.230837,Synthetic 13
0.711,0.043049,0.249332,Synthetic 14
0.705,0.073012,0.253306,Synthetic 15
0.717,0.05913,0.234407,Synthetic 16
0.732,0.048216,0.224501,Synthetic 17
0.724,0.052902,0.226623,Synthetic 18
0.76,0.01788,0.19272,Synthetic 19
0.757,0.022302,0.204448,Synthetic 20
0.722,0.043893,0.236643,Synthetic 21
0.698,0.080914,0.245343,Synthetic 22
0.718,0.055135,0.227516,Synthetic 23
0.727,0.053469,0.22133,Synthetic 24
0.718,0.066166,0.224854,Synthetic 25
0.729,0.045868,0.229663,Synthetic 26
0.722,0.056523,0.233911,Synthetic 27
0.735,0.032232,0.211814,Synthetic 28
0.726,0.046812,0.221115,Synthetic 29
0.742,0.030616,0.210373,Synthetic 30
0.705,0.079247,0.244255,Synthetic 31
0.738,0.040733,0.223015,Synthetic 32
0.727,0.048869,0.234859,Synthetic 33
0.729,0.055127,0.236598,Synthetic 34
0.739,0.054093,0.219805,Synthetic 35
0.719,0.053483,0.238899,Synthetic 36
0.703,0.069819,0.241666,Synthetic 37
0.743,0.038283,0.222417,Synthetic 38
0.717,0.056063,0.238054,Synthetic 39
0.732,0.044441,0.224151,Synthetic 40
0.719,0.046485,0.2262,Synthetic 41
0.71,0.07322,0.237261,Synthetic 42
0.719,0.037022,0.23541,Synthetic 43
0.704,0.084908,0.265593,Synthetic 44
0.729,0.045886,0.225665,Synthetic 45
0.746,0.020542,0.205906,Synthetic 46
0.693,0.084324,0.255862,Synthetic 47
0.733,0.0336,0.22084,Synthetic 48
0.706,0.068472,0.238252,Synthetic 49
0.735,0.054308,0.223724,Synthetic 50
0.714,0.056389,0.249384,Synthetic 51
0.705,0.073936,0.245442,Synthetic 52
0.742,0.032942,0.216521,Synthetic 53
0.724,0.062727,0.229759,Synthetic 54
0.694,0.098355,0.258038,Synthetic 55
0.75,0.03475,0.210708,Synthetic 56
0.711,0.066497,0.245901,Synthetic 57
0.704,0.068079,0.263019,Synthetic 58
0.699,0.067476,0.260952,Synthetic 59
0.728,0.045843,0.230118,Synthetic 60
0.711,0.060476,0.237136,Synthetic 61
0.698,0.07882,0.233009,Synthetic 62
0.685,0.089889,0.263855,Synthetic 63
0.757,0.030942,0.200908,Synthetic 64
0.702,0.083282,0.250132,Synthetic 65
0.748,0.035607,0.205764,Synthetic 66
0.726,0.037583,0.232336,Synthetic 67
0.713,0.064146,0.236746,Synthetic 68
0.726,0.032783,0.225999,Synthetic 69
0.738,0.032856,0.220435,Synthetic 70
0.715,0.075772,0.229516,Synthetic 71
0.728,0.057984,0.225378,Synthetic 72
0.714,0.055366,0.231269,Synthetic 73
0.772,0.003842,0.188031,Synthetic 74
0.724,0.050511,0.230375,Synthetic 75
0.719,0.055837,0.233157,Synthetic 76
0.746,0.041648,0.229219,Synthetic 77
0.693,0.082808,0.247608,Synthetic 78
0.708,0.069969,0.239632,Synthetic 79
0.689,0.088857,0.254175,Synthetic 80
0.749,0.033523,0.213123,Synthetic 81
0.705,0.069396,0.250791,Synthetic 82
0.739,0.033951,0.210032,Synthetic 83
0.71,0.067439,0.242448,Synthetic 84
0.714,0.062368,0.242094,Synthetic 85
0.701,0.075572,0.24531,Synthetic 86
0.747,0.025154,0.213624,Synthetic 87
0.726,0.044745,0.226926,Synthetic 88
0.729,0.030553,0.234493,Synthetic 89
0.7,0.077726,0.240041,Synthetic 90
0.694,0.079175,0.254633,Synthetic 91
0.702,0.074893,0.248805,Synthetic 92
0.736,0.050851,0.23489,Synthetic 93
0.719,0.07562,0.233757,Synthetic 94
0.708,0.077885,0.248802,Synthetic 95
0.737,0.040545,0.221475,Synthetic 96
0.705,0.081296,0.242584,Synthetic 97
0.745,0.021182,0.212424,Synthetic 98
0.733,0.035006,0.222936,Synthetic 99
