ATE,Error_ATE,Error_PEHE,Problem
0.741,0.01271,0.235046,Synthetic 0
0.728,0.0117,0.23699,Synthetic 1
0.705,0.04569,0.25381,Synthetic 2
0.717,0.02202,0.256949,Synthetic 3
0.715,0.01809,0.250261,Synthetic 4
0.728,0.01393,0.236842,Synthetic 5
0.72,0.0221,0.239958,Synthetic 6
0.731,0.02103,0.245271,Synthetic 7
0.716,0.01559,0.263474,Synthetic 8
0.741,0.00548,0.232907,Synthetic 9
0.737,0.00012,0.226617,Synthetic 10
0.721,0.00172,0.245378,Synthetic 11
0.711,0.02424,0.256283,Synthetic 12
0.723,0.00174,0.250822,Synthetic 13
0.711,0.00192,0.263271,Synthetic 14
0.705,0.0304,0.27382,Synthetic 15
0.717,0.02385,0.246103,Synthetic 16
0.732,0.00978,0.234565,Synthetic 17
0.724,0.01512,0.242658,Synthetic 18
0.76,0.03135,0.213259,Synthetic 19
0.757,0.0161,0.22647,Synthetic 20
0.722,0.00717,0.249793,Synthetic 21
0.698,0.04386,0.254837,Synthetic 22
0.718,0.00493,0.251833,Synthetic 23
0.727,0.01567,0.235472,Synthetic 24
0.718,0.03306,0.234423,Synthetic 25
0.729,0.00566,0.248784,Synthetic 26
0.722,0.01064,0.24463,Synthetic 27
0.735,0.00013,0.227877,Synthetic 28
0.726,0.00076,0.243855,Synthetic 29
0.742,0.00198,0.226585,Synthetic 30
0.705,0.03097,0.24958,Synthetic 31
0.738,0.01043,0.240164,Synthetic 32
0.727,0.00289,0.253592,Synthetic 33
0.729,0.02504,0.25003,Synthetic 34
0.739,0.01543,0.23304,Synthetic 35
0.719,0.01224,0.257306,Synthetic 36
0.703,0.03215,0.257468,Synthetic 37
0.743,0.00598,0.227999,Synthetic 38
0.717,0.01788,0.254856,Synthetic 39
0.732,0.017,0.238036,Synthetic 40
0.719,0.00827,0.236234,Synthetic 41
0.71,0.03296,0.250108,Synthetic 42
0.719,0.0036,0.244172,Synthetic 43
0.704,0.04346,0.267673,Synthetic 44
0.729,0.00853,0.237201,Synthetic 45
0.746,0.0104,0.221303,Synthetic 46
0.693,0.04581,0.28513,Synthetic 47
0.733,0.00476,0.23757,Synthetic 48
0.706,0.03173,0.2471,Synthetic 49
0.735,0.00763,0.243785,Synthetic 50
0.714,0.02383,0.263637,Synthetic 51
0.705,0.02864,0.267226,Synthetic 52
0.742,0.00024,0.227389,Synthetic 53
0.724,0.02155,0.244976,Synthetic 54
0.694,0.06024,0.271212,Synthetic 55
0.75,0.003,0.22406,Synthetic 56
0.711,0.02635,0.263574,Synthetic 57
0.704,0.03678,0.275462,Synthetic 58
0.699,0.02454,0.277361,Synthetic 59
0.728,0.00231,0.248521,Synthetic 60
0.711,0.02197,0.248977,Synthetic 61
0.698,0.03217,0.248639,Synthetic 62
0.685,0.05112,0.272255,Synthetic 63
0.757,0.01502,0.216346,Synthetic 64
0.702,0.04384,0.26104,Synthetic 65
0.748,0.00641,0.211612,Synthetic 66
0.726,0.00493,0.247924,Synthetic 67
0.713,0.02756,0.244474,Synthetic 68
0.726,0.00292,0.243438,Synthetic 69
0.738,0.00812,0.238304,Synthetic 70
0.715,0.03978,0.239971,Synthetic 71
0.728,0.0146,0.237407,Synthetic 72
0.714,0.00318,0.237969,Synthetic 73
0.772,0.03591,0.208442,Synthetic 74
0.724,0.01177,0.246047,Synthetic 75
0.719,0.02368,0.24003,Synthetic 76
0.746,0.00182,0.246759,Synthetic 77
0.693,0.04716,0.2592,Synthetic 78
0.708,0.03299,0.265208,Synthetic 79
0.689,0.04381,0.269166,Synthetic 80
0.749,0.00438,0.231883,Synthetic 81
0.705,0.03485,0.263547,Synthetic 82
0.739,0.00201,0.232622,Synthetic 83
0.71,0.02773,0.249405,Synthetic 84
0.714,0.02377,0.264491,Synthetic 85
0.701,0.03889,0.259895,Synthetic 86
0.747,0.01863,0.22583,Synthetic 87
0.726,0.01244,0.236429,Synthetic 88
0.729,0.01544,0.266887,Synthetic 89
0.7,0.04007,0.253524,Synthetic 90
0.694,0.03786,0.277636,Synthetic 91
0.702,0.03721,0.255688,Synthetic 92
0.736,0.0141,0.25123,Synthetic 93
0.719,0.04172,0.248009,Synthetic 94
0.708,0.04169,0.248478,Synthetic 95
0.737,0.00298,0.237012,Synthetic 96
0.705,0.04573,0.253651,Synthetic 97
0.745,0.01565,0.232772,Synthetic 98
0.733,0.00402,0.23341,Synthetic 99
