ATE,Error_ATE,Error_PEHE,Problem
0.741,0.026994,0.219114,Synthetic 0
0.728,0.051244,0.228709,Synthetic 1
0.705,0.073437,0.236686,Synthetic 2
0.717,0.041411,0.241184,Synthetic 3
0.715,0.054523,0.235967,Synthetic 4
0.728,0.039129,0.229978,Synthetic 5
0.72,0.056171,0.225063,Synthetic 6
0.731,0.05142,0.225268,Synthetic 7
0.716,0.064594,0.239171,Synthetic 8
0.741,0.037777,0.220089,Synthetic 9
0.737,0.043489,0.2157,Synthetic 10
0.721,0.03393,0.22927,Synthetic 11
0.711,0.064477,0.241135,Synthetic 12
0.723,0.034089,0.231191,Synthetic 13
0.711,0.027778,0.25102,Synthetic 14
0.705,0.069832,0.253678,Synthetic 15
0.717,0.067525,0.236421,Synthetic 16
0.732,0.041568,0.224441,Synthetic 17
0.724,0.04307,0.22554,Synthetic 18
0.76,0.008729,0.193555,Synthetic 19
0.757,0.025624,0.206198,Synthetic 20
0.722,0.047012,0.237882,Synthetic 21
0.698,0.078959,0.246181,Synthetic 22
0.718,0.059247,0.230432,Synthetic 23
0.727,0.044667,0.221415,Synthetic 24
0.718,0.062965,0.223838,Synthetic 25
0.729,0.038517,0.230446,Synthetic 26
0.722,0.05053,0.233189,Synthetic 27
0.735,0.031409,0.21282,Synthetic 28
0.726,0.03958,0.222541,Synthetic 29
0.742,0.025239,0.210123,Synthetic 30
0.705,0.075794,0.245226,Synthetic 31
0.738,0.031694,0.22385,Synthetic 32
0.727,0.045243,0.234989,Synthetic 33
0.729,0.051706,0.237263,Synthetic 34
0.739,0.047166,0.220774,Synthetic 35
0.719,0.043867,0.23781,Synthetic 36
0.703,0.063169,0.241853,Synthetic 37
0.743,0.033902,0.222348,Synthetic 38
0.717,0.04622,0.238953,Synthetic 39
0.732,0.041652,0.223709,Synthetic 40
0.719,0.040798,0.227637,Synthetic 41
0.71,0.062554,0.237308,Synthetic 42
0.719,0.022824,0.235498,Synthetic 43
0.704,0.078134,0.263489,Synthetic 44
0.729,0.038924,0.225298,Synthetic 45
0.746,0.010984,0.20716,Synthetic 46
0.693,0.079017,0.254809,Synthetic 47
0.733,0.032461,0.222604,Synthetic 48
0.706,0.070409,0.238915,Synthetic 49
0.735,0.042589,0.222731,Synthetic 50
0.714,0.04662,0.249005,Synthetic 51
0.705,0.069206,0.247694,Synthetic 52
0.742,0.027381,0.216271,Synthetic 53
0.724,0.061698,0.229879,Synthetic 54
0.694,0.08631,0.255668,Synthetic 55
0.75,0.031475,0.214727,Synthetic 56
0.711,0.050371,0.245662,Synthetic 57
0.704,0.062881,0.263633,Synthetic 58
0.699,0.059902,0.261745,Synthetic 59
0.728,0.043717,0.230358,Synthetic 60
0.711,0.052522,0.235578,Synthetic 61
0.698,0.071543,0.231892,Synthetic 62
0.685,0.078696,0.263744,Synthetic 63
0.757,0.028755,0.202053,Synthetic 64
0.702,0.068971,0.249679,Synthetic 65
0.748,0.034596,0.206626,Synthetic 66
0.726,0.037172,0.232977,Synthetic 67
0.713,0.060999,0.237792,Synthetic 68
0.726,0.034154,0.227264,Synthetic 69
0.738,0.039903,0.221489,Synthetic 70
0.715,0.07651,0.230614,Synthetic 71
0.728,0.044982,0.224175,Synthetic 72
0.714,0.040607,0.231643,Synthetic 73
0.772,0.00355,0.188447,Synthetic 74
0.724,0.045407,0.230371,Synthetic 75
0.719,0.037675,0.230998,Synthetic 76
0.746,0.035377,0.227644,Synthetic 77
0.693,0.078062,0.248678,Synthetic 78
0.708,0.060968,0.240858,Synthetic 79
0.689,0.08768,0.25478,Synthetic 80
0.749,0.022178,0.211702,Synthetic 81
0.705,0.066975,0.249988,Synthetic 82
0.739,0.028122,0.211862,Synthetic 83
0.71,0.057223,0.24193,Synthetic 84
0.714,0.058207,0.242183,Synthetic 85
0.701,0.071854,0.246543,Synthetic 86
0.747,0.025083,0.214535,Synthetic 87
0.726,0.043029,0.225981,Synthetic 88
0.729,0.02611,0.236337,Synthetic 89
0.7,0.069221,0.241325,Synthetic 90
0.694,0.08146,0.256675,Synthetic 91
0.702,0.064988,0.247459,Synthetic 92
0.736,0.048833,0.23556,Synthetic 93
0.719,0.067161,0.233936,Synthetic 94
0.708,0.078538,0.250052,Synthetic 95
0.737,0.042061,0.222713,Synthetic 96
0.705,0.083458,0.243451,Synthetic 97
0.745,0.025402,0.214422,Synthetic 98
0.733,0.024402,0.222591,Synthetic 99
