ATE,Error_ATE,Error_PEHE,Problem
-0.008333,0.007752,0.008324,TWINS 0
-0.008333,0.006098,0.008301,TWINS 1
-0.008333,0.008453,0.008335,TWINS 2
-0.008333,0.007894,0.008326,TWINS 3
-0.008333,0.005193,0.008291,TWINS 4
-0.008333,0.007111,0.008313,TWINS 5
-0.008333,0.005705,0.008296,TWINS 6
-0.008333,0.008006,0.008328,TWINS 7
-0.008333,0.007994,0.008328,TWINS 8
-0.008333,0.004915,0.008288,TWINS 9
-0.008333,0.007505,0.008321,TWINS 10
-0.008333,0.005518,0.008294,TWINS 11
-0.008333,0.007595,0.008321,TWINS 12
-0.008333,0.007647,0.008323,TWINS 13
-0.008333,0.003719,0.008277,TWINS 14
-0.008333,0.007603,0.008322,TWINS 15
-0.008333,0.005398,0.008293,TWINS 16
-0.008333,0.008163,0.008331,TWINS 17
-0.008333,0.007575,0.008321,TWINS 18
-0.008333,0.004786,0.008287,TWINS 19
-0.008333,0.007251,0.008317,TWINS 20
-0.008333,0.005333,0.008292,TWINS 21
-0.008333,0.007484,0.00832,TWINS 22
-0.008333,0.007934,0.008327,TWINS 23
-0.008333,0.003803,0.008278,TWINS 24
-0.008333,0.006695,0.008309,TWINS 25
-0.008333,0.005274,0.008292,TWINS 26
-0.008333,0.007553,0.008322,TWINS 27
-0.008333,0.007896,0.008326,TWINS 28
-0.008333,0.004109,0.008281,TWINS 29
